Participant_ID,Experimenter,Condition,Enjoy_Chatting,Enjoy_Comfort,Enjoy_LikeExperienceMore,Enjoy_Future,Enjoy_Average,Attitude_EmotionalConnection,Attitude_Realistic,Attitude_NegativeChangeNotInvertedYet,Attitude_Coherent,Attitude_Average,Confidence_PersonalNotYetInverted,Confidence_Trust,Confidence_IntrusiveNotYetInverted,Confidence_Honesty,Confidence_Average,Age,Gender,Major,Clubs_PreCovid,Clubs_Current
P01,Team,GIFs,1,2,1,1,1.25,1,2,3,2,2,5,1,4,5,2.25,21,Female,Computer Science and Business,7,2
P02,Team,GIFs,2,4,1,1,2,2,1,3,4,2.5,4,4,3,5,3.5,20,Male,Computer Science,3,2
P03,Team,GIFs,4,4,4,4,4,3,4,1,5,4.25,4,4,2,4,3.5,21,Male,Information Science and Business Administration,1,0
P04,Team,GIFs,2,2,2,1,1.75,1,2,4,2,1.75,5,2,5,4,2,20,Female,Computer Science,0,0
P05,Team,GIFs,2,4,1,1,2,2,1,4,4,2.25,5,4,5,5,2.75,22 and older,Male,Computer Science and Information Science,0,0
P06,Julia,GIFs,1,2,1,1,1.25,1,1,4,2,1.5,4,3,2,5,3.5,20,Male,Computer and Information Sciences,0,0
P07,Julia,GIFs,3,4,5,3,3.75,3,3,3,3,3,1,1,1,5,4,18,Female,Prefer not to answer,2,1
P08,Julia,GIFs,3,4,4,4,3.75,2,3,2,4,3.25,4,4,2,5,3.75,19,Female,Computer Science and Cognitive Psychology,0,1
P09,Julia,GIFs,4,4,3,3,3.5,1,2,3,4,2.5,2,3,1,5,4.25,22 and older,Female,Mechanical Engineering,2,1
P10,Julia,GIFs,4,5,5,4,4.5,2,2,2,5,3.25,4,3,5,5,2.75,19,Female,Computer Science and Behavioral Neuroscience,4,2
P11,Esha,GIFs,2,2,3,2,2.25,2,2,2,2,2.5,2,2,2,5,3.75,20,Female,Biology,3,3
P12,Esha,GIFs,4,5,5,5,4.75,4,4,3,5,4,3,5,3,5,4,21,Female,Biology,3,1
P13,Esha,GIFs,5,5,5,4,4.75,3,2,2,5,3.5,4,4,2,5,3.75,19,Female,Computer Science ,1,1
P14,Esha,GIFs,4,2,4,3,3.25,4,2,3,4,3.25,5,3,4,5,2.75,19,Female,Computer Science,3,1
P15,Esha,GIFs,5,5,5,4,4.75,4,5,5,5,3.75,4,5,5,5,3.25,19,Male,Biology,4,3
P16,Team,Plaintext,3,3,2,1,2.25,1,1,3,1,1.5,4,3,2,5,3.5,22 and older,Male,Data Science,0,0
P17,Team,Plaintext,2,5,1,2,2.5,1,1,5,1,1,4,2,4,2,2,19,Male,Computer Science,3,1
P18,Team,Plaintext,4,4,2,2,3,3,1,5,2,1.75,2,4,1,5,4.5,21,Female,Computer Science and Information Science,1,1
P19,Team,Plaintext,5,4,5,4,4.5,4,4,1,5,4.5,4,3,3,4,3,20,Female,Computer Science,1,1
P20,Team,Plaintext,3,4,4,3,3.5,3,2,3,2,2.5,4,3,4,4,2.75,21,Female,Information Science and Business Administration,1,1
P21,Team,Plaintext,5,4,5,4,4.5,4,4,3,4,3.75,4,4,1,5,4,22 and older,Female,Computer and Information Science,2,1
P22,Team,Plaintext,1,2,1,1,1.25,1,1,4,1,1.25,1,3,3,5,4,22 and older,Male,Information Science,0,0
P23,Team,Plaintext,4,5,3,4,4,3,4,1,5,4.25,2,3,2,5,4,19,Male,Computer Science,1,1
P24,Mira,Plaintext,2,4,2,2,2.5,1,1,4,3,1.75,2,1,3,4,3,22 and older,Male,Computer Science,1,1
P25,Mira,Plaintext,4,5,3,3,3.75,2,4,1,5,4,4,4,3,5,3.5,19,Male,Cybersecurity and Criminal Justice,1,1
P26,Mira,Plaintext,4,5,3,3,3.75,1,1,1,3,2.5,1,4,1,5,4.75,21,Female,Computer Science,1,1
P27,Mira,Plaintext,3,4,5,5,4.25,3,2,2,4,3.25,5,4,3,4,3,20,Female,Computer Science,3,1
P28,Mira,Plaintext,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,3,19,Female,Computer Science,3,3
P29,Kristen,Plaintext,4,5,4,4,4.25,4,4,1,4,4.25,3,4,2,5,4,21,Female,Computer Science,2,2
P30,Kristen,Plaintext,5,5,5,5,5,4,5,2,5,4.5,4,5,4,5,3.5,20,Male,Data Science,1,1
P31,Kristen,Plaintext,3,4,3,3,3.25,3,4,2,4,3.75,4,4,4,5,3.25,20,Female,Computer Science,3,1
P32,Kristen,Plaintext,4,4,3,3,3.5,3,4,2,4,3.75,4,3,4,5,3,20,Female,Computer Science and Design,2,2
P33,Kristen,Plaintext,3,5,3,4,3.75,2,5,2,5,4,5,4,5,5,2.75,19,Female,Health Science,0,0